country,leader_title,name,first,last,visit_type,n_articles,source
津巴布韦,总统,穆加贝,2017-01-09,2017-01-09,国事访问,1,PRC MFA zyxw wayback backfill
法国,总理,卡泽纳夫,2017-02-22,2017-02-22,正式访问,2,PRC MFA zyxw wayback backfill
意大利,总统,马塔雷拉,2017-02-22,2017-02-23,会见/会谈(双边),3,PRC MFA zyxw wayback backfill
柬埔寨,国王,西哈莫尼,2017-03-06,2017-03-06,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
沙特,国王,萨勒曼,2017-03-16,2017-03-17,国事访问,2,PRC MFA zyxw wayback backfill
卢旺达,总统,卡加梅,2017-03-17,2017-03-17,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
以色列,总理,内塔尼亚胡,2017-03-21,2017-03-21,正式访问,2,PRC MFA zyxw wayback backfill
密克罗尼西亚联邦,总统,克里斯琴,2017-03-27,2017-03-27,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
尼泊尔,总理,普拉昌达,2017-03-27,2017-03-27,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
马达加斯加,总统,埃里,2017-03-27,2017-03-27,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
塞尔维亚,总统,尼科利奇,2017-03-30,2017-03-30,国事访问,1,PRC MFA zyxw wayback backfill
缅甸,总统,廷觉,2017-04-10,2017-04-10,国事访问,1,PRC MFA zyxw wayback backfill
挪威,首相,索尔贝格,2017-04-10,2017-04-10,国事访问,1,PRC MFA zyxw wayback backfill
圣多美和普林西比,总理,特罗瓦达,2017-04-12,2017-04-14,正式访问,2,PRC MFA zyxw wayback backfill
丹麦,首相,拉斯穆森,2017-05-03,2017-05-04,正式访问,3,PRC MFA zyxw wayback backfill
越南,国家主席,陈大光,2017-05-11,2017-05-12,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
蒙古国,总理,额尔登巴特,2017-05-12,2017-05-12,来华出席,1,PRC MFA zyxw wayback backfill
波兰,总理,希德沃,2017-05-12,2017-05-12,来华出席,1,PRC MFA zyxw wayback backfill
乌兹别克斯坦,总统,米尔济约耶夫,2017-05-12,2017-05-12,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
捷克,总统,泽曼,2017-05-12,2017-05-12,来华出席,1,PRC MFA zyxw wayback backfill
智利,总统,巴切莱特,2017-05-13,2017-05-14,国事访问,2,PRC MFA zyxw wayback backfill
土耳其,总统,埃尔多安,2017-05-13,2017-05-13,来华出席,1,PRC MFA zyxw wayback backfill
西班牙,首相,拉霍伊,2017-05-13,2017-05-13,来华出席,1,PRC MFA zyxw wayback backfill
老挝,国家主席,本扬,2017-05-13,2017-05-13,来华出席,1,PRC MFA zyxw wayback backfill
马来西亚,总理,纳吉布,2017-05-13,2017-05-13,来华出席,1,PRC MFA zyxw wayback backfill
巴基斯坦,总理,谢里夫,2017-05-13,2017-05-13,来华出席,2,PRC MFA zyxw wayback backfill
希腊,总理,齐普拉斯,2017-05-13,2017-05-13,来华出席,2,PRC MFA zyxw wayback backfill
匈牙利,总理,欧尔班,2017-05-13,2017-05-13,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
俄罗斯,总统,普京,2017-05-14,2017-05-14,来华出席,2,PRC MFA zyxw wayback backfill
哈萨克斯坦,总统,纳扎尔巴耶夫,2017-05-14,2017-05-14,来华出席,1,PRC MFA zyxw wayback backfill
瑞士,联邦主席,洛伊特哈德,2017-05-14,2017-05-15,来华出席,0,summit supplement (一带一路论坛2017)
白俄罗斯,总统,卢卡申科,2017-05-14,2017-05-15,来华出席,0,summit supplement (一带一路论坛2017)
吉尔吉斯斯坦,总统,阿坦巴耶夫,2017-05-14,2017-05-15,来华出席,0,summit supplement (一带一路论坛2017)
印度尼西亚,总统,佐科,2017-05-14,2017-05-14,来华出席,1,PRC MFA zyxw wayback backfill
埃塞俄比亚,总理,海尔马里亚姆,2017-05-14,2017-05-15,来华出席,0,summit supplement (一带一路论坛2017)
缅甸,国务资政,昂山素季,2017-05-14,2017-05-15,来华出席,0,summit supplement (一带一路论坛2017)
塞尔维亚,总理,武契奇,2017-05-14,2017-05-15,来华出席,0,summit supplement (一带一路论坛2017)
肯尼亚,总统,肯雅塔,2017-05-15,2017-05-16,来华出席,2,PRC MFA zyxw wayback backfill
菲律宾,总统,杜特尔特,2017-05-15,2017-05-15,来华出席,3,PRC MFA zyxw wayback backfill
意大利,总理,真蒂洛尼,2017-05-16,2017-05-16,来华出席,2,PRC MFA zyxw wayback backfill
斯里兰卡,总理,维克勒马辛哈,2017-05-16,2017-05-16,来华出席,1,PRC MFA zyxw wayback backfill
斐济,总理,姆拜尼马拉马,2017-05-16,2017-05-16,来华出席,1,PRC MFA zyxw wayback backfill
柬埔寨,首相,洪森,2017-05-17,2017-05-17,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
阿根廷,总统,马克里,2017-05-17,2017-05-17,国事访问,2,PRC MFA zyxw wayback backfill
卢森堡,首相,贝泰尔,2017-06-14,2017-06-14,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
芬兰,总理,西比莱,2017-06-26,2017-06-26,来华出席,1,PRC MFA zyxw wayback backfill
瑞典,首相,勒文,2017-06-26,2017-06-26,来华出席,1,PRC MFA zyxw wayback backfill
巴勒斯坦国,总统,阿巴斯,2017-07-18,2017-07-19,国事访问,2,PRC MFA zyxw wayback backfill
塔吉克斯坦,总统,拉赫蒙,2017-08-31,2017-08-31,国事访问,1,PRC MFA zyxw wayback backfill
巴西,总统,特梅尔,2017-09-01,2017-09-01,国事访问,3,PRC MFA zyxw wayback backfill
泰国,总理,巴育,2017-09-04,2017-09-04,来华出席,1,PRC MFA zyxw wayback backfill
墨西哥,总统,培尼亚,2017-09-04,2017-09-04,来华出席,1,PRC MFA zyxw wayback backfill
几内亚,总统,孔戴,2017-09-05,2017-09-05,来华出席,1,PRC MFA zyxw wayback backfill
埃及,总统,塞西,2017-09-05,2017-09-05,来华出席,1,PRC MFA zyxw wayback backfill
印度,总理,莫迪,2017-09-05,2017-09-05,来华出席,1,PRC MFA zyxw wayback backfill
文莱,苏丹,哈桑纳尔,2017-09-13,2017-09-13,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
新加坡,总理,李显龙,2017-09-19,2017-09-20,正式访问,2,PRC MFA zyxw wayback backfill
俄罗斯,总理,梅德韦杰夫,2017-11-01,2017-11-02,正式访问,3,PRC MFA zyxw wayback backfill
美国,总统,特朗普,2017-11-09,2017-11-09,会见/会谈(双边),4,PRC MFA zyxw wayback backfill
巴拿马,总统,巴雷拉,2017-11-17,2017-11-17,国事访问,2,PRC MFA zyxw wayback backfill
吉布提,总统,盖莱,2017-11-23,2017-11-24,国事访问,2,PRC MFA zyxw wayback backfill
加拿大,总理,特鲁多,2017-12-05,2017-12-05,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
马尔代夫,总统,亚明,2017-12-07,2017-12-07,国事访问,4,PRC MFA zyxw wayback backfill
韩国,总统,文在寅,2017-12-14,2017-12-15,国事访问,2,PRC MFA zyxw wayback backfill
冈比亚,总统,巴罗,2017-12-21,2017-12-22,国事访问,2,PRC MFA zyxw wayback backfill
法国,总统,马克龙,2018-01-08,2018-01-09,国事访问,3,PRC MFA zyxw wayback backfill
英国,首相,特雷莎·梅,2018-02-01,2018-02-01,正式访问,1,PRC MFA zyxw wayback backfill
荷兰,国王,威廉,2018-02-07,2018-02-07,国事访问,2,PRC MFA zyxw wayback backfill
汤加,国王,图普六世,2018-03-01,2018-03-01,国事访问,2,PRC MFA zyxw wayback backfill
喀麦隆,总统,比亚,2018-03-22,2018-03-23,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
纳米比亚,总统,根哥布,2018-03-29,2018-03-30,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
津巴布韦,总统,姆南加古瓦,2018-04-03,2018-04-04,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
奥地利,总统,范德贝伦,2018-04-08,2018-04-08,国事访问,2,PRC MFA zyxw wayback backfill
新加坡,总理,李显龙,2018-04-08,2018-04-10,工作访问,2,PRC MFA zyxw wayback backfill
蒙古国,总理,呼日勒苏赫,2018-04-09,2018-04-10,正式访问,2,PRC MFA zyxw wayback backfill
巴基斯坦,总理,阿巴西,2018-04-10,2018-04-10,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
菲律宾,总统,杜特尔特,2018-04-10,2018-04-10,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
荷兰,首相,吕特,2018-04-12,2018-04-12,正式访问,1,PRC MFA zyxw wayback backfill
印度,总理,莫迪,2018-04-27,2018-04-27,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
特立尼达和多巴哥,总理,罗利,2018-05-14,2018-05-15,正式访问,2,PRC MFA zyxw wayback backfill
德国,总理,默克尔,2018-05-24,2018-05-24,正式访问,2,PRC MFA zyxw wayback backfill
老挝,国家主席/总书记,本扬,2018-05-30,2018-05-31,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
哈萨克斯坦,总统,纳扎尔巴耶夫,2018-06-07,2018-06-07,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
俄罗斯,总统,普京,2018-06-08,2018-06-08,国事访问,1,PRC MFA zyxw wayback backfill
巴基斯坦,总统,侯赛因,2018-06-09,2018-06-09,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
乌兹别克斯坦,总统,米尔济约耶夫,2018-06-09,2018-06-09,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
塔吉克斯坦,总统,拉赫蒙,2018-06-09,2018-06-09,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
印度,总理,莫迪,2018-06-09,2018-06-09,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
吉尔吉斯斯坦,总统,热恩别科夫,2018-06-09,2018-06-10,来华出席,0,summit supplement (上合青岛2018)
蒙古国,总统,巴特图勒嘎,2018-06-10,2018-06-10,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
伊朗,总统,鲁哈尼,2018-06-10,2018-06-10,国事访问,1,PRC MFA zyxw wayback backfill
阿富汗,总统,加尼,2018-06-10,2018-06-10,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
白俄罗斯,总统,卢卡申科,2018-06-10,2018-06-10,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
玻利维亚,总统,莫拉莱斯,2018-06-19,2018-06-19,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
朝鲜,委员长,金正恩,2018-06-20,2018-06-20,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
巴布亚新几内亚,总理,奥尼尔,2018-06-21,2018-06-21,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
法国,总理,菲利普,2018-06-25,2018-06-26,会见/会谈(双边),3,PRC MFA zyxw wayback backfill
马来西亚,总理,马哈蒂尔,2018-08-20,2018-08-20,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
索马里,总统,穆罕默德,2018-08-31,2018-08-31,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
博茨瓦纳,总统,马西西,2018-08-31,2018-08-31,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
赞比亚,总统,伦古,2018-09-01,2018-09-01,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
几内亚,总统,孔戴,2018-09-01,2018-09-01,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
埃及,总统,塞西,2018-09-01,2018-09-02,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
尼日尔,总统,伊素福,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
马拉维,总统,穆塔里卡,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
马里,总统,凯塔,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
塞内加尔,总统,萨勒,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
马达加斯加,总统,拉乔纳里马曼皮亚尼纳,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
莫桑比克,总统,纽西,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
纳米比亚,总统,根哥布,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
塞拉利昂,总统,比奥,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
塞舌尔,总统,福尔,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
苏丹,总统,巴希尔,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
南苏丹,总统,基尔,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
乌干达,总统,穆塞韦尼,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
突尼斯,总理,查希德,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
中非共和国,总统,图瓦德拉,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
摩洛哥,首相,欧斯曼尼,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
南非,总统,拉马福萨,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
毛里塔尼亚,总统,阿齐兹,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
毛里求斯,总理,贾格纳特,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
卢旺达,总统,卡加梅,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
乍得,总统,代比,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
喀麦隆,总统,比亚,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
利比里亚,总统,维阿,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
多哥,总统,纳辛贝,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
赤道几内亚,总统,奥比昂,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
肯尼亚,总统,肯雅塔,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
刚果共和国,总统,萨苏,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
贝宁,总统,塔隆,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
安哥拉,总统,洛伦索,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
冈比亚,总统,巴罗,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
刚果民主共和国,总理,奇巴拉,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
吉布提,总统,盖莱,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
几内亚比绍,总统,瓦斯,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
加纳,总统,阿库福-阿多,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
津巴布韦,总统,姆南加古瓦,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
加蓬,总统,邦戈,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
科摩罗,总统,阿苏马尼,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
阿尔及利亚,总理,乌叶海亚,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
佛得角,总理,科雷亚·席尔瓦,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
布基纳法索,总统,卡波雷,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
博茨瓦纳,总统,卡马,2018-09-03,2018-09-04,来华出席,0,summit supplement (中非论坛北京2018)
坦桑尼亚,总理,马贾利瓦,2018-09-06,2018-09-06,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
佛得角,总理,席尔瓦,2018-09-06,2018-09-06,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
莱索托,首相,塔巴内,2018-09-06,2018-09-06,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
委内瑞拉,总统,马杜罗,2018-09-14,2018-09-15,会见/会谈(双边),3,PRC MFA zyxw wayback backfill
拉脱维亚,总统,韦约尼斯,2018-09-18,2018-09-19,来华出席,2,PRC MFA zyxw wayback backfill
日本,首相,安倍晋三,2018-10-26,2018-10-26,正式访问,1,PRC MFA zyxw wayback backfill
萨尔瓦多,总统,桑切斯,2018-11-01,2018-11-01,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
多米尼加,总统,梅迪纳,2018-11-02,2018-11-02,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
巴基斯坦,总理,伊姆兰·汗,2018-11-02,2018-11-05,来华出席,0,summit supplement (进博会上海2018)
格鲁吉亚,总理,巴赫塔泽,2018-11-05,2018-11-05,来华出席,0,summit supplement (进博会上海2018)
越南,总理,阮春福,2018-11-05,2018-11-05,来华出席,0,summit supplement (进博会上海2018)
俄罗斯,总理,梅德韦杰夫,2018-11-05,2018-11-05,来华出席,1,PRC MFA zyxw wayback backfill
老挝,总理,通伦,2018-11-05,2018-11-05,来华出席,0,summit supplement (进博会上海2018)
匈牙利,总理,欧尔班,2018-11-05,2018-11-05,正式访问,1,PRC MFA zyxw wayback backfill
埃及,总理,马德布利,2018-11-05,2018-11-05,来华出席,0,summit supplement (进博会上海2018)
肯尼亚,总统,肯雅塔,2018-11-05,2018-11-05,来华出席,0,summit supplement (进博会上海2018)
马耳他,总理,穆斯卡特,2018-11-05,2018-11-05,来华出席,0,summit supplement (进博会上海2018)
捷克,总统,泽曼,2018-11-05,2018-11-05,国事访问,1,PRC MFA zyxw wayback backfill
立陶宛,总统,格里包斯凯特,2018-11-05,2018-11-05,来华出席,0,summit supplement (进博会上海2018)
克罗地亚,总理,普连科维奇,2018-11-05,2018-11-05,来华出席,0,summit supplement (进博会上海2018)
古巴,国务委员会主席,迪亚斯-卡内尔,2018-11-08,2018-11-08,国事访问,2,PRC MFA zyxw wayback backfill
厄瓜多尔,总统,莫雷诺,2018-12-12,2018-12-13,国事访问,3,PRC MFA zyxw wayback backfill
柬埔寨,首相,洪森,2019-01-21,2019-01-21,正式访问,1,PRC MFA zyxw wayback backfill
卡塔尔,埃米尔,塔米姆,2019-01-31,2019-01-31,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
老挝,总理,通伦,2019-03-27,2019-03-27,来华出席,1,PRC MFA zyxw wayback backfill
新西兰,总理,阿德恩,2019-04-01,2019-04-01,会见/会谈(双边),3,PRC MFA zyxw wayback backfill
埃塞俄比亚,总理,阿比,2019-04-24,2019-04-24,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
智利,总统,皮涅拉,2019-04-24,2019-04-24,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
蒙古国,总统,巴特图勒嘎,2019-04-24,2019-04-24,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
越南,总理,阮春福,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
巴基斯坦,总理,伊姆兰·汗,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
缅甸,国务资政,昂山素季,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
匈牙利,总理,欧尔班,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
奥地利,总理,库尔茨,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
乌兹别克斯坦,总统,米尔济约耶夫,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
塔吉克斯坦,总统,拉赫蒙,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
塞尔维亚,总统,武契奇,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
尼泊尔,总统,班达里,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
莫桑比克,总统,纽西,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
老挝,国家主席,本扬,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
柬埔寨,首相,洪森,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
捷克,总统,泽曼,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
塞浦路斯,总统,阿纳斯塔西亚迪斯,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
文莱,苏丹,哈桑纳尔,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
白俄罗斯,总统,卢卡申科,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
阿塞拜疆,总统,阿利耶夫,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
巴布亚新几内亚,总理,奥尼尔,2019-04-25,2019-04-25,国事访问,2,PRC MFA zyxw wayback backfill
吉尔吉斯斯坦,总统,热恩别科夫,2019-04-25,2019-04-27,来华出席,0,summit supplement (一带一路论坛2019)
马来西亚,总理,马哈蒂尔,2019-04-25,2019-04-25,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
埃及,总统,塞西,2019-04-25,2019-04-25,来华出席,1,PRC MFA zyxw wayback backfill
菲律宾,总统,杜特尔特,2019-04-25,2019-04-25,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
肯尼亚,总统,肯雅塔,2019-04-25,2019-04-25,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
俄罗斯,总统,普京,2019-04-26,2019-04-26,来华出席,1,PRC MFA zyxw wayback backfill
希腊,总理,齐普拉斯,2019-04-26,2019-04-26,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
泰国,总理,巴育,2019-04-26,2019-04-26,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
意大利,总理,孔特,2019-04-27,2019-04-27,国事访问,1,PRC MFA zyxw wayback backfill
吉布提,总统,盖莱,2019-04-28,2019-04-28,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
哈萨克斯坦首任,总统,纳扎尔巴耶夫,2019-04-28,2019-04-28,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
瑞士,联邦主席,毛雷尔,2019-04-28,2019-04-29,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
新加坡,总理,李显龙,2019-04-29,2019-04-29,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
葡萄牙,总统,德索萨,2019-04-29,2019-04-29,国事访问,2,PRC MFA zyxw wayback backfill
希腊,总统,帕夫洛普洛斯,2019-05-14,2019-05-14,国事访问,1,PRC MFA zyxw wayback backfill
斯里兰卡,总统,西里塞纳,2019-05-14,2019-05-15,来华出席,4,PRC MFA zyxw wayback backfill
亚美尼亚,总理,帕希尼扬,2019-05-14,2019-05-14,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
新加坡,总统,哈莉玛,2019-05-15,2019-05-15,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
乌干达,总统,穆塞韦尼,2019-06-25,2019-06-25,工作访问,2,PRC MFA zyxw wayback backfill
荷兰,首相,吕特,2019-06-27,2019-06-27,工作访问,2,PRC MFA zyxw wayback backfill
土耳其,总统,埃尔多安,2019-07-02,2019-07-02,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
保加利亚,总统,拉德夫,2019-07-03,2019-07-03,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
孟加拉国,总理,哈西娜,2019-07-04,2019-07-05,正式访问,2,PRC MFA zyxw wayback backfill
哥伦比亚,总统,杜克,2019-07-31,2019-07-31,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
乌兹别克斯坦,总理,阿里波夫,2019-08-28,2019-08-28,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
菲律宾,总统,杜特尔特,2019-08-29,2019-08-29,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
德国,总理,默克尔,2019-09-06,2019-09-06,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
哈萨克斯坦,总统,托卡耶夫,2019-09-11,2019-09-11,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
所罗门群岛,总理,索加瓦雷,2019-10-09,2019-10-09,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
巴基斯坦,总理,伊姆兰·汗,2019-10-09,2019-10-09,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
巴西,总统,博索纳罗,2019-10-25,2019-10-25,会见/会谈(双边),3,PRC MFA zyxw wayback backfill
牙买加,总理,霍尔尼斯,2019-11-04,2019-11-08,正式访问,2,PRC MFA zyxw wayback backfill
塞尔维亚,总理,布尔纳比奇,2019-11-04,2019-11-04,来华出席,1,PRC MFA zyxw wayback backfill
法国,总统,马克龙,2019-11-05,2019-11-06,国事访问,3,PRC MFA zyxw wayback backfill
苏里南,总统,鲍特瑟,2019-11-27,2019-11-27,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
萨尔瓦多,总统,布克尔,2019-12-03,2019-12-03,国事访问,2,PRC MFA zyxw wayback backfill
密克罗尼西亚联邦,总统,帕努埃洛,2019-12-13,2019-12-13,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
日本,首相,安倍晋三,2019-12-23,2019-12-23,来华出席,1,PRC MFA zyxw wayback backfill
韩国,总统,文在寅,2019-12-23,2019-12-24,来华出席,2,PRC MFA zyxw wayback backfill
老挝,总理,通伦,2020-01-06,2020-01-06,正式访问,2,PRC MFA zyxw wayback backfill
基里巴斯,总统,马茂,2020-01-06,2020-01-06,国事访问,2,PRC MFA zyxw wayback backfill
柬埔寨,首相,洪森,2020-02-05,2020-02-05,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
蒙古国,总统,巴特图勒嘎,2020-02-27,2020-02-27,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
巴基斯坦,总统,阿尔维,2020-03-17,2020-03-17,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
柬埔寨,国王,西哈莫尼,2020-11-06,2020-11-06,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
新加坡,总统,哈莉玛,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
埃及,总统,塞西,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
厄瓜多尔,总统,拉索,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
阿根廷,总统,费尔南德斯,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
柬埔寨,国王,西哈莫尼,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
巴布亚新几内亚,总理,马拉佩,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
乌兹别克斯坦,总统,米尔济约耶夫,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
塔吉克斯坦,总统,拉赫蒙,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
哈萨克斯坦,总统,托卡耶夫,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
摩纳哥,亲王,阿尔贝二世,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
卢森堡,大公,亨利,2022-02-04,2022-02-06,来华出席,0,summit supplement (冬奥北京2022)
俄罗斯,总统,普京,2022-02-04,2022-02-04,来华出席,1,PRC MFA zyxw wayback backfill
塞尔维亚,总统,武契奇,2022-02-05,2022-02-05,来华出席,1,PRC MFA zyxw wayback backfill
土库曼斯坦,总统,别尔德穆哈梅多夫,2022-02-05,2022-02-05,来华出席,1,PRC MFA zyxw wayback backfill
卡塔尔,埃米尔,塔米姆,2022-02-05,2022-02-05,来华出席,1,PRC MFA zyxw wayback backfill
蒙古国,总理,奥云额尔登,2022-02-05,2022-02-06,来华出席,2,PRC MFA zyxw wayback backfill
